CID	ACT_AN
517637	Inactive
15413	Inactive
7899	Inactive
320930	Inactive
61179	Inactive
23294	Inactive
5765	Inactive
6389	Inactive
2346	Inactive
5371084	Inactive
62374	Inactive
9380	Inactive
6753	Inactive
31373	Inactive
66449	Inactive
7767	Inactive
73282	Inactive
7944	Inactive
3301	Inactive
2999413	Inactive
91649	Inactive
6602188	Inactive
6590	Inactive
94308	Inactive
79717	Inactive
68289	Inactive
8900	Inactive
6560	Inactive
970	Inactive
13404	Inactive
650	Inactive
13888	Inactive
75969	Inactive
67058	Inactive
7964	Inactive
18056	Inactive
41684	Inactive
61345	Inactive
16096	Inactive
14347	Inactive
5284385	Inactive
65114	Inactive
8640	Inactive
28780	Inactive
14242	Inactive
7206	Inactive
8497	Inactive
5339	Inactive
17355	Inactive
1752	Inactive
7284	Inactive
22188	Inactive
23677963	Inactive
6305	Inactive
8129	Inactive
8715	Inactive
12955	Inactive
1672	Inactive
7238	Inactive
444913	Inactive
18303	Inactive
8295	Inactive
5921	Inactive
7242	Inactive
31276	Inactive
6108	Inactive
6228	Inactive
3035	Inactive
5284443	Inactive
68570	Inactive
6635	Inactive
9795	Inactive
7934	Inactive
31256	Inactive
79103	Inactive
7565	Inactive
8098	Inactive
15560	Inactive
5807	Inactive
1483	Inactive
11335	Inactive
7267	Inactive
8606	Inactive
12484	Inactive
379	Inactive
7078	Inactive
9502	Inactive
13728	Inactive
18487	Inactive
8066	Inactive
8572	Inactive
5281168	Inactive
13578	Inactive
7804	Inactive
2723770	Inactive
7367	Inactive
8413	Inactive
1732	Inactive
2723650	Inactive
24744	Inactive
6294	Inactive
811	Inactive
62276	Inactive
10458	Inactive
14218	Inactive
8916	Inactive
17092	Inactive
2771871	Inactive
8294	Inactive
17816	Inactive
7154	Inactive
11164	Inactive
22584	Inactive
13	Inactive
12076	Inactive
7411	Inactive
8805	Inactive
6501	Inactive
12749	Inactive
8196	Inactive
7450	Inactive
7207	Inactive
8190	Inactive
122499	Inactive
9237	Inactive
7360	Inactive
8359	Inactive
62655	Inactive
21630	Inactive
15158	Inactive
23392	Inactive
8489	Inactive
5333	Inactive
7440	Inactive
9016	Inactive
6598	Inactive
8103	Inactive
3293	Inactive
2345	Inactive
9570093	Inactive
54740	Inactive
7231	Inactive
1349907	Inactive
23673837	Inactive
7522	Inactive
31237	Inactive
15088	Inactive
8034	Inactive
2955	Inactive
3613389	Inactive
5569	Inactive
6732	Inactive
31368	Inactive
108242	Inactive
3030	Inactive
36324	Inactive
8638	Inactive
2763	Inactive
7415	Inactive
12971	Inactive
7761	Inactive
31344	Inactive
15615	Inactive
2724189	Inactive
5753	Inactive
3767	Inactive
8630	Inactive
6537	Inactive
7471	Inactive
4943	Inactive
6984	Inactive
957	Inactive
445154	Inactive
5870	Inactive
4169	Inactive
23676704	Inactive
13144	Inactive
9993	Inactive
7486	Inactive
9862	Inactive
8183	Inactive
15797	Inactive
135398735	Inactive
8846	Inactive
6672	Inactive
7567	Inactive
2708	Inactive
2727	Inactive
15286	Inactive
18283	Inactive
4937	Inactive
51556	Inactive
80779	Inactive
5988	Inactive
11169	Inactive
7713	Inactive
7963	Inactive
17857	Inactive
18529	Inactive
5284421	Inactive
7592	Inactive
8697	Inactive
6849	Inactive
7810	Inactive
3017	Inactive
7245	Inactive
7261	Inactive
228987	Inactive
32154	Inactive
13263	Inactive
454	Inactive
2734171	Inactive
11729	Inactive
6937	Inactive
14264	Inactive
938	Inactive
15531	Inactive
5365125	Inactive
638034	Inactive
7573	Inactive
15630	Inactive
6896	Inactive
7839	Inactive
3037	Inactive
13165	Inactive
22833326	Inactive
30360	Inactive
15553	Inactive
7946	Inactive
25054	Inactive
3120	Inactive
8800	Inactive
7610	Inactive
16724	Inactive
6947	Inactive
7915	Inactive
5281708	Inactive
7394	Inactive
13521	Inactive
7057995	Inactive
39327	Inactive
12868	Inactive
40399	Inactive
5383	Inactive
7947	Inactive
8111	Inactive
638014	Inactive
82190	Inactive
62485	Inactive
6838	Inactive
2272	Inactive
7000	Inactive
8033	Inactive
1493	Inactive
7497	Inactive
7473	Inactive
5104	Inactive
73864	Inactive
65064	Inactive
43234	Inactive
8091	Inactive
338	Inactive
8980	Inactive
26295	Inactive
12276	Inactive
2735009	Inactive
4421	Inactive
7047	Inactive
8141	Inactive
10850	Inactive
7966	Inactive
8119	Inactive
11579	Inactive
73675	Inactive
8087	Inactive
39424	Inactive
6251	Inactive
8139	Inactive
13286	Inactive
6406	Inactive
62783	Inactive
135465076	Inactive
7837	Inactive
3036	Inactive
7061	Inactive
12463	Inactive
2734956	Inactive
14286	Inactive
41206	Inactive
7220	Inactive
15909	Inactive
22420	Inactive
795	Inactive
7833	Inactive
57363	Inactive
5503	Inactive
11957	Inactive
9415	Inactive
6418	Inactive
5271566	Inactive
10005	Inactive
21531	Inactive
7391	Inactive
16560	Inactive
8892	Inactive
9352	Inactive
8561	Inactive
169132	Inactive
8341	Inactive
11123	Inactive
7249	Inactive
67172	Inactive
12232	Inactive
6579	Inactive
896	Inactive
338733	Inactive
5281872	Inactive
47326	Inactive
6498	Inactive
31242	Inactive
12958	Inactive
12713	Inactive
525	Inactive
61057	Inactive
23667648	Inactive
28777	Inactive
24309	Inactive
5280443	Inactive
4133	Inactive
6009	Inactive
7271	Inactive
6529	Inactive
11167	Inactive
7104	Inactive
37175	Inactive
7327	Inactive
7642	Inactive
31279	Inactive
6837	Inactive
13246	Inactive
8723	Inactive
1986	Inactive
15767	Inactive
7991	Inactive
2314	Inactive
7173	Inactive
5865	Inactive
3639	Inactive
8419	Inactive
6423	Inactive
12251	Inactive
16653	Inactive
7351	Inactive
73672	Inactive
7864	Inactive
10541	Inactive
7969	Inactive
16584	Inactive
10707	Inactive
24434	Inactive
998	Inactive
8160	Inactive
20087	Inactive
8184	Inactive
40326	Inactive
5963	Inactive
5284441	Inactive
8449	Inactive
12170	Inactive
7418	Inactive
6540	Inactive
6269	Inactive
3346	Inactive
7451	Inactive
